name,distance,n_points,total_mass,mean_f_gas,r_max,chi2_standard,mean_res_standard,chi2_overhead,mean_res_overhead,chi2_screening,mean_res_screening,chi2_recognition,mean_res_recognition,chi2_xi_screening,mean_res_xi_screening
UGC09992,10.7,5,2793581934.100419,0.2607563814191836,3.89,1.3529406264144548,0.2284148415431683,1.7152615534190303,0.2215823958131567,27.385976313713577,5.495798308088753,1.0278284668261635,0.2211765245216543,1.3235127967205254,0.2253552730524889
UGC06786,29.3,45,2837112788338.912,0.020381879480434073,34.05,616.768653916524,0.23921230357198967,624.3587583413613,0.235821017608428,2795.881846550898,3.186012166133592,593.5932852451724,0.23316715786934838,611.4385938975813,0.2361258422325059
UGC06917,18.0,11,126935388651.82013,0.10893104318209211,10.47,59.69613475787024,0.42316693822138035,65.22486257517625,0.4177055091680524,355.564006333706,3.4968900798961404,53.14179134758656,0.41610761618610803,59.07312670868032,0.4196223077155418
ESO563-G021,60.8,30,16220901507383.822,0.02558929704312724,42.41,62.25036255420565,0.14379411413733748,63.459039336539995,0.14060416692933866,569.0522260923768,1.4307231023999927,58.944607451519495,0.13934345479172933,61.39257791845681,0.14094530743695366
NGC4100,18.0,24,1570829369530.4512,0.04366846372343164,22.76,23.43269856767017,0.16925302949670307,23.88519194867507,0.16577084183857435,407.2888756992769,1.691698590336978,21.580748797989045,0.16363606759453056,22.956712013991353,0.1663408131950949
NGC3877,18.0,13,1105619881820.1416,0.012713056832242034,11.35,23.184482035163395,-0.13921774725237637,26.0209272499251,-0.1414160765755702,271.43118577883587,1.858151491448548,22.630239578691203,-0.1435908800350731,23.820321592918244,-0.1413616665284852
UGC00191,17.1,9,49943789419.06091,0.15257865447632923,9.98,586.1812011895062,0.5350956225637036,654.8278960552103,0.5282563611543788,2350.2574894892778,6.872456323093994,512.9805390856194,0.5261117523046016,581.7042767460332,0.5312722153252535
NGC3741,3.21,21,2222144304.9744306,0.6260738997991331,7.0,120.06630798208509,1.6453573955629919,124.89276573935719,1.6162445625309276,232.56054904916573,11.122440106474775,113.74305176316037,1.6310225557289477,119.76253268455484,1.6387686994154567
NGC0247,3.7,26,176129888632.4593,0.17257685369545775,14.54,166.99639461512237,0.5682191099609583,171.64595358001682,0.5610652942078915,902.4269685751085,3.801669541298072,157.57117084357714,0.56037832574338,165.44547487732927,0.5643132032484585
F563-1,48.9,17,163031511391.21347,0.36149451868674065,20.1,28.33959605906483,1.494569108201664,29.9251149645981,1.47687853754548,51.566370618897345,6.303973274628802,26.51330628385045,1.4822433571988833,28.25330857275638,1.4883559749968518
F574-2,89.1,5,57600008976.42259,0.21649855970626417,10.83,0.8392470365506446,-0.2225013393847751,1.1797027224093484,-0.22652782065795787,4.806569160439864,1.3765129306426205,0.7045154864479249,-0.226357175999052,0.8598397400109602,-0.22443782722513314
UGC06399,18.0,9,33213753995.815895,0.13853016869939172,7.85,44.31107277852496,0.5919343754336938,49.9543367542207,0.5852216664075464,183.2324699120279,5.151320992780814,38.805604777605346,0.5835482112727056,43.983498413177344,0.5879694019657832
UGC11820,18.1,10,89632500323.6913,0.3248882588395885,15.82,1126.6375279749764,0.7840347424442549,1237.266243010765,0.771949441299161,2908.6625911681895,9.258089744486856,1003.1041642335467,0.7718822259905043,1120.5825918798582,0.7795913115285205
F568-3,82.4,18,294503852946.62024,0.11606436763722673,17.98,16.101130804633783,0.5660431148143069,16.896966334382103,0.5597931771033067,69.62030173172211,4.359294940759707,14.980485947953152,0.5580334141063061,15.98044588485197,0.562142627774349
UGC07524,4.74,31,70733665155.18362,0.23092006028324635,10.69,64.41849540436294,0.6488675687611616,65.44975473249377,0.6401125873713445,245.89151621274456,5.093995988197303,61.43347814016777,0.6402527605279493,63.949903035417655,0.6447607938443529
UGC02259,10.5,8,27504654139.0702,0.2016566736728564,8.14,493.7272297871593,0.9633139289137034,569.3903140880756,0.9537505500531887,1573.1745005256037,6.760768713564315,427.17495107358184,0.9530519511309251,490.9735922004132,0.9584239738015767
UGC05721,6.18,23,10018682312.543007,0.2779068904919748,6.74,65.42835096349732,0.9294025873077819,67.74087757398836,0.9169182246300543,192.9379697062277,9.266303266920811,62.0105396581818,0.918459516345387,65.14462967585415,0.9245970939497347
UGC05716,21.3,12,35130179754.628075,0.4788269074296716,12.37,2148.1420440659963,1.0943861092185208,2328.857310255542,1.076480334733785,5540.88206699254,5.769017712420257,1951.3930210349379,1.083744624700105,2138.4420372055374,1.0891696973596148
UGC07151,6.87,11,21724559948.861,0.12588852647755686,5.5,39.497938310390204,0.2707053746679798,42.75476598033709,0.26557639308021225,473.88635158133076,4.985315952057727,34.79157712128671,0.26376206917104567,38.88133211992983,0.26754047467345754
UGC04483,3.34,8,69732952.53370525,0.4777645330904319,1.21,24.544381353741358,0.4686737044643291,27.681968523251,0.4560245069265704,154.14021123001277,14.464894728102145,20.911292278729622,0.4562372179027211,24.33829895108548,0.46501573189895085
NGC1003,11.4,36,506771783048.03357,0.280453490976258,30.24,431.65640917049274,0.8324710261907409,438.30579719617026,0.8207960500723376,994.340001686914,2.7667890409558344,416.205034360675,0.8246952688808215,429.51711336212594,0.827906956771999
UGC03546,28.7,30,3204287685135.644,0.012793380101092525,29.23,87.92875474319618,-0.08961569230532061,87.8802104954699,-0.091988842444748,3519.7260865867297,2.09126786047309,79.98539771315842,-0.09415804986221647,85.1879752692912,-0.09188315362867333
NGC0055,2.11,21,145462447751.04602,0.39811987188701525,13.5,63.15513359500883,0.34449936795530334,63.80208474507512,0.33453582213405086,505.45749420296727,2.983331074932685,58.621245583960835,0.3378217288236281,62.348693049160296,0.3411506719262268
NGC1090,37.0,24,2949965839936.842,0.06648200591747584,30.09,99.06661170126664,0.062133761753011114,100.73020444093464,0.05857020774804167,754.1941992613166,1.5356506398083216,92.85612965662875,0.057442216259864405,97.47068755782537,0.05948834354374894
UGC06973,18.0,9,458121026955.66016,0.016711081855654297,7.85,439.38651546934256,-0.232404448067818,508.11509733056295,-0.23442392206184237,469.96130892257736,1.527328263367841,400.0144381364531,-0.2362128789710335,444.68926189123954,-0.234316270592957
F574-1,96.8,14,126219606401.67361,0.08861637688974189,12.6,68.45777346900887,0.6826162759254151,73.41693898060551,0.6766619667995185,228.4095028860096,4.782522272883916,62.742571266634044,0.6738577796385613,68.01214195515526,0.6784254443222586
NGC3769,18.0,12,1021438481645.151,0.15741622101354488,37.16,24.35282355655811,0.3478044103699964,26.38429372003345,0.3413898982006253,168.72753525450833,1.9543132382681818,22.05734247003007,0.3423520994149622,24.183636061091587,0.34444748259111474
NGC2403,3.16,73,374896621224.73737,0.14957706384222252,20.87,2076.4564220007605,0.33202587699922653,2062.925014510334,0.3254983060519206,11446.523613464347,3.9513368692551456,2009.1132185592353,0.32492908022360295,2056.5579940880584,0.32870824824368605
UGC03580,20.7,47,574998423004.0167,0.08018539958459119,27.06,325.2636781471841,0.0005575344855142106,329.53510667029957,-0.0034638091441227476,1178.3095770792863,3.3122366316713507,317.67236177097203,-0.004842819402840742,324.70906705388603,-0.0019345180378646935
ESO444-G084,4.83,7,1290243663.9330544,0.5794499275567438,4.44,301.29545599144717,1.512533117672652,356.8090929733659,1.487599888396496,663.0672703200397,13.894499486057214,256.6188302078223,1.4974831356714675,300.3874815389275,1.5062752421580885
UGC11557,24.2,12,191015188887.0293,0.04161037926085109,10.56,7.216341698834165,-0.311126667161773,8.093401064317765,-0.31321558671432936,27.405821476718497,1.5447064803976795,6.855583809170874,-0.3146846948279633,7.340095072651663,-0.3128424190982877
UGC08490,4.65,30,22684347541.841007,0.3292142723975425,10.15,111.1809034492497,0.9982049944918793,113.669616545084,0.9845358148789549,315.2997194677193,6.234692351930861,106.44728691676683,0.98778451003245,110.6595640471175,0.9932281374625506
UGC01230,53.7,11,789058514175.8159,0.2775143404754163,36.54,16.884462732736534,0.7291273699892211,18.469618935618353,0.7186613780732864,44.24127437435967,3.712071286249875,15.20224524067333,0.7213071228152296,16.786115410416905,0.7248206948834852
UGC08550,6.7,11,4862972308.321713,0.30061294630428514,5.36,159.4940634583975,0.917100784767253,174.78189592582626,0.9047590378401348,494.72860485724607,7.976650244175729,143.51967809852798,0.9065915864699211,158.7107722980268,0.9123259310646045
F561-1,66.4,6,71591008171.7155,0.15184872527650883,9.66,0.7454793774633333,-0.04549273235400347,0.9911132694412911,-0.049568516110525394,37.49062461631786,2.2669426538427087,0.6548803165911004,-0.05022882185935509,0.7651087946982816,-0.047870089140531306
UGC07559,4.97,7,758709598.1078569,0.27713217380238586,2.53,5.1508049850850846,0.2502017132516454,5.96369217696698,0.2426025673935225,51.93957693389111,7.051914939634882,4.3079435769286905,0.24248465649571105,5.08833113711697,0.24708788098627416
NGC4389,18.0,6,132567191610.22783,0.011752931532614938,5.32,95.84293762891839,-0.456028113037062,121.10826519305931,-0.4574213011385552,50.31644338120914,1.313362513876359,81.77355789995205,-0.4589184385055587,96.87020348223129,-0.45738296417438334
NGC2915,4.06,30,15805983771.678291,0.2955683989105872,10.04,51.789111803063406,1.5173614566471731,53.25160673200417,1.5005549667282674,93.54214175810392,7.316354926655843,49.82285193250744,1.5046698620970473,51.66104755456853,1.5110915553630657
NGC5055,9.9,28,9485434844125.756,0.04671369439455172,54.59,3552.7555399903213,-0.009675283403048787,3739.856103190236,-0.012780047429173238,9639.027467955582,1.199755463653884,3534.0683191070516,-0.013416430985354942,3604.976659369583,-0.01214184941639546
UGC07399,8.43,10,14123263015.922829,0.2312152853681498,6.13,264.46897379821866,1.2169683357559502,295.0008380266649,1.2048125537188588,695.1345449254202,8.588817604829,236.0458427919638,1.2051962591300427,263.40695335511316,1.211446612771562
F565-V2,51.8,7,19511108805.20688,0.44825478263631713,8.8,43.31917642108166,1.3090978244377964,51.32439420211822,1.2903335470041848,89.83107881107283,7.168344832907229,36.87998014548354,1.2975839580672364,43.172579527440824,1.303346637862526
NGC3992,23.7,9,12242063205028.451,0.04471920713543375,46.02,73.98968633747415,0.250150501526436,82.70542727175703,0.24642039114004918,477.21037558335325,1.0336570851761522,64.23005798181232,0.24586634913766067,72.6610610110078,0.2470367968122595
